"","unique(bis$scientificName)"
"1","Thalassoma lutescens"
"2","Pseudolabrus japonicus"
"3","Platycephalus"
"4","Meiacanthus kamoharai"
"5","Siphamia senoui"
"6","Muraena pardalis"
"7","Thysanactis dentex"
"8","Pseudoplesiops"
"9","Gymnocranius euanus"
"10","Luciogobius"
"11","Polymetme elongatus"
"12","Synodus"
"13","Pseudogramma polyacantha"
"14","Synagrops japonicus"
"15","Pseudorhombus pentophthalmus"
"16","Plagiopsetta glossa"
"17","Thamnaconus modestoides"
"18","Abudefduf sordidus"
"19","Apogon aroubiensis"
"20","Trimma tevegae"
"21","Chaunax penicillatus"
"22","Furcina osimae"
"23","Girella punctata"
"24","Pseudochromis marshallensis"
"25","Apogon erythrinus"
"26","Upeneus tragula"
"27","Clariger"
"28","Chaetodon ephippium"
"29","Chlorophthalmus albatrossis"
"30","Helcogramma rhinoceros"
"31","Cirripectes"
"32","Hyperoglyphe japonica"
"33","Parabrotula tanseimaru"
"34","Dolicholagus longirostris"
"35","Monacanthidae"
"36","Coelorinchus multispinulosus"
"37","Trimma okinawae"
"38","Acanthogobius lactipes"
"39","Synodus fuscus"
"40","Lycodes caudimaculatus"
"41","Satyrichthys amiscus"
"42","Stomias affinis"
"43","Gadomus colletti"
"44","Gobiodon"
"45","Favonigobius gymnauchen"
"46","Sillago japonica"
"47","Rhechias retrotincta"
"48","Epinephelus fasciatus"
"49","Bathygobius cocosensis"
"50","Holtbyrnia innesi"
"51","Bathygadus antrodes"
"52","Aseraggodes kobensis"
"53","Chromis yamakawai"
"54","Acanthogobius flavimanus"
"55","Parupeneus heptacanthus"
"56","Lethrinus atkinsoni"
"57","Evistias acutirostris"
"58","Pseudolabrus sieboldi"
"59","Lipolagus"
"60","Takifugu"
"61","Tribolodon hakonensis"
"62","Evynnis tumifrons"
"63","Rhynchocypris oxycephalus"
"64","Chrysiptera rex"
"65","Ostracion immaculatus"
"66","Apogon trimaculatus"
"67","Borostomias"
"68","Alectis ciliaris"
"69","Yongeichthys nebulosus"
"70","Enneapterygius etheostomus"
"71","Conger myriaster"
"72","Zenopsis nebulosa"
"73","Neobythites stigmosus"
"74","Eviota"
"75","Rhodeus ocellatus ocellatus"
"76","Priacanthus macracanthus"
"77","Alepocephalus australis barnardi"
"78","Pomacentrus coelestis"
"79","Setarches guentheri"
"80","Gobiodon quinquestrigatus"
"81","Hemitripterus villosus"
"82","Chauliodus"
"83","Siphamia tubifer"
"84","Synodus macrops"
"85","Diodon holacanthus"
"86","Bassozetus"
"87","Macropharyngodon meleagris"
"88","Labroides dimidiatus"
"89","Bryaninops tigris"
"90","Stethojulis trilineata"
"91","Macroramphosus sagifue"
"92","Uranoscopus tosae"
"93","Notoraja tobitukai"
"94","Kraemeria cunicularia"
"95","Amphiprion clarkii"
"96","Lepidotrigla microptera"
"97","Brama japonica"
"98","Pseudoblennius"
"99","Apogon lineatus"
"100","Lycodes teraoi"
"101","Benthosema fibulatum"
"102","Eviota prasina"
"103","Astronesthes ijimai"
"104","Angilliformes"
"105","Pomacentrus moluccensis"
"106","Eviota prasites"
"107","Lateolabrax japonicus"
"108","Andamia tetradactyla"
"109","Sebastes owstoni"
"110","Chromis lepidolepis"
"111","Helicolenus hilgendorfii"
"112","Chelidonichthys spinosus"
"113","Acentrogobius multifasciatus"
"114","Luciogobius grandis"
"115","Neoscopelus porosus"
"116","Priacanthus sagittarius"
"117","Eustomias"
"118","Chaunax abei"
"119","Gobiopsis namnas"
"120","Chrysiptera brownriggi"
"121","Acropoma japonicum"
"122","Stethojulis interrupta terina"
"123","Scarus altipinnis"
"124","Diaphus lucidus"
"125","Cubiceps baxteri"
"126","Aphyonus gelatinosus"
"127","Siganus argenteus"
"128","Pagrus major"
"129","Fistularia commersonii"
"130","Ereunias grallator"
"131","Repomucenus lunatus"
"132","Acromycter nezumi"
"133","Rexea prometheoides"
"134","Myctophidae"
"135","Paralepididae"
"136","Mullidae"
"137","Ammodytoides kanazawai"
"138","Goniistius"
"139","Engyprosopon multisquama"
"140","Hazeus otakii"
"141","Chaetodon auripes"
"142","Epinephelus merra"
"143","Pterogobius elapoides"
"144","Lepidotrigla"
"145","Gymnocranius"
"146","Raja kwangtungensis"
"147","Labracinus cyclophthalmus"
"148","Symphurus orientalis"
"149","Kuhlia rupestris"
"150","Coelorinchus"
"151","Dolichopteryx brachyrhynchus"
"152","Hoplobrotula armata"
"153","Hetereleotris"
"154","Synchiropus ocellatus"
"155","Parascorpaena moultoni"
"156","Eptatretus okinoseanus"
"157","Acanthurus triostegus"
"158","Gymnogobius"
"159","Etmopterus molleri"
"160","Eviota shimadai"
"161","Daruma sagamia"
"162","Lutjanus russellii"
"163","Cheilinus undulatus"
"164","Spratelloides gracilis"
"165","Serrivomeridae"
"166","Istigobius campbelli"
"167","Equulites rivulatus"
"168","Takifugu flavipterus"
"169","Helcogramma inclinata"
"170","Priolepis boreus"
"171","Synodus variegatus"
"172","Parioglossus dotui"
"173","Poecilia mexicana"
"174","Bathygobius cyclopterus"
"175","Parapristipoma trilineatum"
"176","Halichoeres marginatus"
"177","Chlorophthalmus"
"178","Pomacentrus amboinensis"
"179","Variola albimarginata"
"180","Tridentiger bifasciatus"
"181","Aulotrachichthys prosthemius"
"182","Setarches longimanus"
"183","Laiphognathus longispinis"
"184","Chaetodon kleinii"
"185","Ventrifossa longibarbata"
"186","Periophthalmus modestus"
"187","Scopelosaurus hoedti"
"188","Glyptocephalus stelleri"
"189","Benthodesmus tenuis"
"190","Cephalopholis miniata"
"191","Tripterygiidae"
"192","Scyliorhinus torazame"
"193","Parapercis pulchella"
"194","Parapercis snyderi"
"195","Seriola"
"196","Ecsenius yaeyamaensis"
"197","Tetraodontidae"
"198","Opostomias mitsuii"
"199","Trimma naudei"
"200","Halosauropsis macrochir"
"201","Apogon kallopterus"
"202","Cyprinocirrhites polyactis"
"203","Gymnogobius breunigii"
"204","Lutjanus gibbus"
"205","Bothrocara tanakae"
"206","Apistus carinatus"
"207","Malacocottus gibber"
"208","Tetrosomus reipublicae"
"209","Plectranthias"
"210","Chaetodon citrinellus"
"211","Lepidotrigla alata"
"212","Hime japonica"
"213","Hippocampus coronatus"
"214","Careproctus rhodomelas"
"215","Leptoderma lubricum"
"216","Repomucenus valenciennei"
"217","Ectreposebastes imus"
"218","Neenchelys similis"
"219","Eviota bifasciata"
"220","Decapterus macarellus"
"221","Ebosia bleekeri"
"222","Hypodytes rubripinnis"
"223","Plotosus japonicus"
"224","Dactyloptena orientalis"
"225","Bodianus mesothorax"
"226","Brama orcini"
"227","Zebrias zebrinus"
"228","Caracanthus maculatus"
"229","Neoscopelus macrolepidotus"
"230","Histrio histrio"
"231","Stephanolepis cirrhifer"
"232","Canthigaster valentini"
"233","Cephalopholis boenak"
"234","Abudefduf vaigiensis"
"235","Zenion japonicum"
"236","Cypselurus starksi"
"237","Rhynchocypris lagowskii"
"238","Callionymus corallinus"
"239","Synagrops philippinensis"
"240","Congriscus megastomus"
"241","Inegocia japonica"
"242","Neobythites sivicola"
"243","Bothus pantherinus"
"244","Scorpaena onaria"
"245","Choerodon azurio"
"246","Suezichthys gracilis"
"247","Brotulina"
"248","Neoepinnula orientalis"
"249","Gobiodon oculolineatus"
"250","Psenopsis anomala"
"251","Zacco temminckii"
"252","Lampanyctus jordani"
"253","Stlengis misakia"
"254","Galeus eastmani"
"255","Dascyllus reticulatus"
"256","Upeneus japonicus"
"257","Polymixia japonica"
"258","Eviota sebreei"
"259","Pleuronichthys cornutus"
"260","Halicampus brocki"
"261","Acanthopagrus"
"262","Nezumia proxima"
"263","Chlorophthalmus acutifrons"
"264","Stalix immaculata"
"265","Scomber australasicus"
"266","Eviota japonica"
"267","Parapercis xanthozona"
"268","Parapercis kamoharai"
"269","Pseudoplesiops rosae"
"270","Anarchias"
"271","Cocotropus"
"272","Apogon selas"
"273","Plotosus lineatus"
"274","Cypselurus hiraii"
"275","Diplophos orientalis"
"276","Salangichthys microdon"
"277","Seriola rivoliana"
"278","Onigocia macrolepis"
"279","Brotula multibarbata"
"280","Lestrolepis japonica"
"281","Fusigobius duospilus"
"282","Sargocentron punctatissimum"
"283","Ijimaia dofleini"
"284","Apogon doederleini"
"285","Hirundichthys speculiger"
"286","Halichoeres melanochir"
"287","Eviota albolineata"
"288","Spicomacrurus kuronumai"
"289","Paragobiodon modestus"
"290","Arothron firmamentum"
"291","Bathygobius fuscus"
"292","Lampadena"
"293","Lethrinus ravus"
"294","Thalassoma cupido"
"295","Glossogobius olivaceus"
"296","Cephalopholis urodeta"
"297","Melanostomias melanops"
"298","Zoarchias uchidai"
"299","Bregmaceros japonicus"
"300","Chaeturichthys jeoni"
"301","Diplogrammus xenicus"
"302","Tanakius kitaharae"
"303","Eurypharynx pelecanoides"
"304","Centropyge ferrugata"
"305","Rastrelliger kanagurta"
"306","Lepidion schmidti"
"307","Gonostoma gracile"
"308","Coelorinchus anatirostris"
"309","Alionematichthys"
"310","Oplegnathus fasciatus"
"311","Lepidotrigla guentheri"
"312","Aeoliscus strigatus"
"313","Parapercis cylindrica"
"314","Neoscopelus microchir"
"315","Pictichromis porphyreus"
"316","Bathygobius"
"317","Cheilinus trilobatus"
"318","Gymnothorax thyrsoideus"
"319","Xenocephalus elongatus"
"320","Squalogadus modificatus"
"321","Praealticus tanegasimae"
"322","Parabothus kiensis"
"323","Tyson"
"324","Ostracion cubicus"
"325","Apogon parvulus"
"326","Epinephelus cyanopodus"
"327","Glossanodon microcephalus"
"328","Canthigaster coronata"
"329","Rhabdoblennius nitidus"
"330","Girella leonina"
"331","Gymnothorax"
"332","Sebastapistes fowleri"
"333","Squalus japonicus"
"334","Enneapterygius flavoccipitis"
"335","Scatophagus argus"
"336","Saurida umeyoshii"
"337","Eviota melasma"
"338","Odontanthias borbonius"
"339","Squalus mitsukurii"
"340","Lateolabrax latus"
"341","Scorpaena neglecta"
"342","Atrosalarias fuscus holomelas"
"343","Paragobiodon xanthosomus"
"344","Nettastoma parviceps"
"345","Amsichthys knighti"
"346","Sargocentron spiniferum"
"347","Trimma hayashii"
"348","Argyropelecus affinis"
"349","Takifugu xanthopterus"
"350","Thalassoma amblycephalum"
"351","Sueviota"
"352","Gymnogobius heptacanthus"
"353","Ambassis"
"354","Centropyge heraldi"
"355","Eviota nigriventris"
"356","Parapercis multiplicata"
"357","Cypselurus heterurus doederleini"
"358","Amblychaeturichthys sciistius"
"359","Physiculus japonicus"
"360","Hymenocephalus striatissimus"
"361","Lycenchelys ryukyuensis"
"362","Paramonacanthus matsuurai"
"363","Cephaloscyllium isabellum"
"364","Pseudoscopelus scutatus"
"365","Canthidermis maculata"
"366","Halieutaea stellata"
"367","Centrobranchus nigroocellatus"
"368","Ostracion solorensis"
"369","Parexocoetus brachypterus brachypterus"
"370","Cirrhilabrus cyanopleura"
"371","Chaenogobius annularis"
"372","Trimma caudomaculatum"
"373","Pterygotrigla hemisticta"
"374","Pterosynchiropus splendidus"
"375","Apogon kominatoensis"
"376","Diodontidae"
"377","Assessor randalli"
"378","Arothron hispidus"
"379","Carassius auratus langsdorfii"
"380","Gonorynchus abbreviatus"
"381","Dicrolene tristis"
"382","Pleuronichthys lighti"
"383","Linophryne"
"384","Calliurichthys japonicus"
"385","Ecsenius oculus"
"386","Lophiomus setigerus"
"387","Stethojulis bandanensis"
"388","Taenioides auguillaris"
"389","Nectamia bandanensis"
"390","Ucla xenogrammus"
"391","Cheilodipterus quinquelineatus"
"392","Pseudanthias ventralis ventralis"
"393","Arothron immaculatus"
"394","Lycodes sadoensis"
"395","Oligolepis acutipennis"
"396","Diaphus fragilis"
"397","Scorpaenopsis macrochir"
"398","Bregmacerotidae"
"399","Glossanodon semifasciatus"
"400","Ryukyupercis gushikeni"
"401","Bathyraja parmifera"
"402","Polyipnus stereope"
"403","Ecsenius bicolor"
"404","Cynoglossus lighti"
"405","Parascolopsis inermis"
"406","Solocisquama stellulata"
"407","Sebastiscus tertius"
"408","Pterothrissus gissu"
"409","Chromis margaritifer"
"410","Corythoichthys amplexus"
"411","Heterophotus ophistoma"
"412","Astronesthes cyaneus"
"413","Asterropteryx spinosa"
"414","Hymenocephalus lethonemus"
"415","Plecoglossus altivelis altivelis"
"416","Apogon taeniophorus"
"417","Neosynchiropus moyeri"
"418","Epinephelus retouti"
