Taxon,NamID,fieldNumber,references,freq
Alvinocaris longirostris,Myojin Knoll,"HPD#965, HPD#971",http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/4090038245,1
Alvinocaris longirostris,Nikko volcano,"HPD#967, HPD#968",http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/4090038399,1
Ashinkailepas seepiophila,Izena Cauldron,HPD#1188,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021663,1
Ashinkailepas seepiophila,Minami-Ensei Knoll,2K#0615,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1120025135,1
Bathymodiolus aduloides,Myojin Knoll,2K#1112,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2990014451,1
Bathymodiolus aduloides,Myojinsho Caldera,HPD#0972,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002308,1
Bathymodiolus aduloides,"North Knoll, Iheya Ridge",2K#1003,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2980010234,1
Bathymodiolus aduloides,Tarama Knoll,6K#1509,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1170054188,1
Bathymodiolus japonicus,Izena Cauldron,2K#0364,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2880014952,1
Bathymodiolus japonicus,Northwest Eifuku,HPD#1162,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100023755,1
Bathymodiolus japonicus,"SPOT, Yonaguni Knoll IV",2K#1276,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2010011196,1
Bathymodiolus platifrons,Myojin Knoll,HPD#1810,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150051543,1
Bathymodiolus septemdierum,Myojinsho Caldera,HPD#1652,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042773,1
Bathymodiolus septemdierum,Sakai,HPD#1183,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021617,1
Branchinotogluma trifurcus,Izena Cauldron,HPD#0865,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2080020817,1
Cirrothauma murrayi,Suiyo Seamount,HPD#0681,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/E-library+of+Deep-sea+Images/56252,1
Desbruyeresia melanioides,Myojin Knoll,2K#1007,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2980014163,1
Gandalfus yunohana,Bayonnaise Knoll caldera,HPD#0745,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2070007336,1
