"","Taxon","NamID","fieldNumber","references"
"37","Akebiconcha kawamurai","Minami-Ensei Knoll","2K#0428","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2890017515"
"38","Akebiconcha kawamurai","Minami-Ensei Knoll","2K#0428","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2890011649"
"49","Akebiconcha kawamurai","Minami-Ensei Knoll","2K#0428","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2890011652"
"63","Akebiconcha kawamurai","Minami-Ensei Knoll","2K#0428","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2890011653"
"80","Alviniconcha hessleri","Alice Springs Field","6K#0140","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2920009546"
"81","Alviniconcha hessleri","Pika","6K#1224","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100048225"
"82","Alviniconcha hessleri","Pika","6K#1225","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021797"
"84","Alviniconcha hessleri","Forecast","6K#0188","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/E-library+of+Deep-sea+Images/24208"
"85","Alviniconcha hessleri","Alice Springs Field","6K#0140","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2920009622"
"86","Alviniconcha hessleri","Pika","6K#1224","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100048219"
"87","Alviniconcha hessleri","Pika","6K#1224","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100048244"
"88","Alviniconcha hessleri","Alice Springs Field","6K#0153","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2920009620"
"89","Alviniconcha hessleri","Alice Springs Field","6K#0140","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2920009621"
"90","Alviniconcha hessleri","Pika","6K#1225","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100048257"
"91","Alviniconcha hessleri","Pika","6K#1224","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100048228"
"92","Alviniconcha hessleri","Alice Springs Field","6K#0140","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2920009547"
"93","Alviniconcha hessleri","Pika","6K#1226","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100048273"
"94","Alviniconcha hessleri","Pika","6K#1224","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100048230"
"95","Alviniconcha hessleri","Pika","6K#1224","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100048229"
"96","Alviniconcha hessleri","Forecast","6K#0353","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/E-library+of+Deep-sea+Images/69149"
"97","Alvinocaris longirostris","SPOT, Yonaguni Knoll IV","2K#1271","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2010011033"
"99","Alvinocaris longirostris","North Knoll, Iheya Ridge","2K#1094","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2990010465"
"100","Alvinocaris longirostris","SPOT, Hatoma Knoll","2K#1352","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/E-library+of+Deep-sea+Images/38827"
"101","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1028","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002454"
"102","Alvinocaris longirostris","SPOT, Yonaguni Knoll IV","HPD#1623","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042336"
"103","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1621","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042196"
