,Contributor,Taxon,UniqueID,AphiaID,Relative.Adult.Mobility,Relative.Adult.Mobility.Certainty,Relative.Adult.Mobility.Reference,Estimated.Max.Body.Size,Estimated.Max.Body.Size.Certainty,Estimated.Max.Body.Size.Reference,Gregariousness,Gregariousness.Certainty,Gregariousness.Reference,Foundation.Species,Foundation.Species.Certainty,Foundation.Species.Reference,Habitat.Complexity,Habitat.Complexity.Certainty,Habitat.Complexity.Reference,Abundance,Abundance.Certainty,Abundance.Reference,Chemosynthesis.Obligate,Chemosynthesis.Obligate.Certainty,Chemosynthesis.Obligate.Reference,Position.of.Symbiont,Position.of.Symbiont.Certainty,Position.of.Symbiont.Reference,Min.Depth.Range.Lower.Bound,Min.Depth.Range.Upper.Bound,Max.Depth.Range.Lower.Bound,Max.Depth.Range.Upper.Bound,Depth.Range.Certainty,Depth.Range.Reference,Substratum,Substratum.Certainty,Substratum.Reference,Zonation.From.Vent,Zonation.From.Vent.Certainty,Zonation.From.Vent.Reference,Nutritional.Source,Nutritional.Source.Certainty,Nutritional.Source.Reference,Trophic.Mode,Trophic.Mode.Certainty,Trophic.Mode.Reference,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies
1,William.Reid@newcastle.ac.uk; cpd4@psu.edu; tresa2812@gmail.com,Abyssocladia dominalba,Aby1,235787,1,3,129,100,3,129,Always,3,66; 468,No,3,129,Open bush forming,2,66; 468,High,3,468,No,3,468,None,3,129,1500,2000,2500,3000,1,468; 66,Hard,3,468,Low,3,468; 129,Fauna,2,550,Carnivore O,3,550; 149; 129,Porifera,Demospongiae,Poecilosclerida,Cladorhizidae,Abyssocladia,,dominalba,
2,tresa2812@gmail.com; maria.aa.colaco@uac.pt; asac1g09@soton.ac.uk,Abyssocladia naudur,Aby2,235788,1,NA,NA,100,NA,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vent,NA,-9999,NA,NA,NA,2500,3000,2500,3000,3,550,Hard,3,550,Low,3,550,Fauna,NA,NA,Carnivore O,NA,NA,Porifera,Demospongiae,Poecilosclerida,Cladorhizidae,Abyssocladia,,naudur,
3,kl@bas.ac.uk,Abyssocladia sp. ESR,Aby3,184559,1,NA,-9997,100,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,3,NA,NA,NA,NA,2000,2500,2500,3000,NA,66,Hard,NA,66,Low,3,NA,NA,NA,NA,NA,NA,NA,Porifera,Demospongiae,Poecilosclerida,Cladorhizidae,Abyssocladia,,,
4,kl@bas.ac.uk; gorolen@mail.ru; elenamkr@mail.ru; poisson.chat@wanadoo.fr; tresa2812@gmail.com,Abyssogena southwardae,Aby4,464387,2,3,142,1000,3,66,Sometimes,3,66,Yes,3,66,Bed forming,3,66,High,3,177,Other CBE,1,-9999,Endosymbiont,3,553; 142,2500,3000,4500,5000,2.5,301; 309,Soft,3,177,Low,3,301,Symbiont,3,490,Bacterivore,3,NA,Mollusca,Bivalvia,Venerida,Vesicomyidae,Abyssogena,,southwardae,
5,tammy.horton@noc.ac.uk; asac1g09@soton.ac.uk,Abyssorchomene abyssorum,Aby5,102492,3,3,66,10,3,66,Sometimes,2,66,No,3,66,Does not add,3,66,High,2,66,No,3,66,None,2,NA,500,1000,4000,4500,3,66,NA,NA,NA,Low,3,66,Fauna,3,66,Carnivore S,3,66,Arthropoda,Malacostraca,Amphipoda,Uristidae,Abyssorchomene,,abyssorum,
6,tammy.horton@noc.ac.uk; asac1g09@soton.ac.uk,Abyssorchomene distinctus,Aby6,557477,3,3,66,10,3,66,Sometimes,2,66,No,3,66,Does not add,3,66,High,2,66,No,3,66,None,2,NA,2500,3000,5001,NA,3,66,NA,NA,NA,Low,3,66,Fauna,3,66,Carnivore S,3,66,Arthropoda,Malacostraca,Amphipoda,Uristidae,Abyssorchomene,,distinctus,
7,tresa2812@gmail.com; asac1g09@soton.ac.uk,Abyssotherma pacifica,Aby7,556253,2,1,66,1,3,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,3,67,Vent,2,-9999,None,1,66,2500,3000,2500,3000,3,67,Hard,3,67,Low,2,67,NA,NA,NA,NA,NA,NA,Foraminifera,Globothalamea,Lituolida,Remaneicidae,Abyssotherma,,pacifica,
8,ijc1g15@soton.ac.uk; sam.southgate@hotmail.co.uk; maria.aa.colaco@uac.pt,Acanthephyra purpurea,Aca8,107582,4,3,520; 66,100,3,129,NA,NA,NA,No,3,66,Does not add,3,66,NA,NA,NA,No,3,628,None,3,66,0,500,1500,2000,3,129,Soft,3,129; 66,Medium,2.5,129; 66,Fauna,3,648,Carnivore O,3,648,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,,purpurea,
9,asac1g09@soton.ac.uk; elenamkr@mail.ru,Acharax alinae,Ach9,293238,2,2,66,1000,3,66,Never,2,361,No,1,129,Burrow forming,3,361,Low,3,361,Other CBE,3,129,Endosymbiont,2,129,1500,2000,1500,2000,NA,361,Soft,3,129,Low,3,129,Symbiont,3,129,Bacterivore,2,129,Mollusca,Bivalvia,Solemyida,Solemyidae,Acharax,,alinae,
10,cchen@jamstec.go.jp; William.Reid@newcastle.ac.uk; asac1g09@soton.ac.uk; elenamkr@mail.ru,Acharax johnsoni,Ach10,293239,2,3,66,1000,3,66,Never,2,NA,No,2,NA,Burrow forming,3,66,Low,3,NA,Other CBE,3,NA,Endosymbiont,3,250,0,500,5001,NA,3,66,Soft,3,NA,Low,3,NA,Symbiont,3,NA,Bacterivore,3,NA,Mollusca,Bivalvia,Solemyida,Solemyidae,Acharax,,johnsoni,
